57,57,57,When Time Ran Out...,Action,1980,James Goldstone,Gordon Thomas,121,International Cinema
58,58,58,Oh Heavenly Dog,Comedy,1980,Joe Camp,Rod Browning,103,Mulberry Square Productions
59,59,59,The Octagon,Action,1980,Eric Karson,Leigh Chapman,103,American Cinema Productions
60,60,60,Hangar 18,Sci-Fi,1980,James L. Conway,Ken Pettus,97,Sunn Classic Pictures
61,61,61,Herbie Goes Bananas,Adventure,1980,Vincent McEveety,Don Tait,100,Walt Disney Productions
62,62,62,The Competition,Drama,1980,Joel Oliansky,Joel Oliansky,123,Rastar Films
63,63,63,It's My Turn,Comedy,1980,Claudia Weill,Eleanor Bergstein,91,Rastar Films
64,64,64,Honeysuckle Rose,Drama,1980,Jerry Schatzberg,Gösta Stevens,119,Major Studio Partners
65,65,65,Resurrection,Drama,1980,Daniel Petrie,Lewis John Carlino,103,Universal Pictures
66,66,66,Fatso,Comedy,1980,Anne Bancroft,Anne Bancroft,93,Brooksfilms
67,67,67,Moscow Does Not Believe in Tears,Comedy,1980,Vladimir Menshov,Valentin Chernykh,150,Mosfilm
68,68,68,The Fiendish Plot of Dr. Fu Manchu,Comedy,1980,Piers Haggard,Rudy Dochtermann,100,Braun Entertainment Group
69,69,69,Serial,Comedy,1980,Bill Persky,Cyra McFadden,86,Paramount Pictures
70,70,70,Hero at Large,Comedy,1980,Martin Davidson,AJ Carothers,98,Kings Road Entertainment
71,71,71,Wholly Moses!,Comedy,1980,Gary Weis,Guy Thomas,103,Columbia Pictures
72,72,72,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",Animation,1980,Bill Melendez,Charles M. Schulz,75,Lee Mendelson Film Productions
73,73,73,In God We Trust (or Gimme That Prime Time Religion),Comedy,1980,Marty Feldman,Marty Feldman,97,Universal Pictures
74,74,74,Roadie,Comedy,1980,Alan Rudolph,Big Boy Medlin,106,Alive Enterprises
75,75,75,Just Tell Me What You Want,Comedy,1980,Sidney Lumet,Jay Presson Allen,112,Warner Bros.
76,76,76,The Last Flight of Noah's Ark,Adventure,1980,Charles Jarrott,Ernest K. Gann,97,Walt Disney Productions
77,77,77,Little Miss Marker,Comedy,1980,Walter Bernstein,Damon Runyon,103,Universal Pictures
78,78,78,Willie & Phil,Comedy,1980,Paul Mazursky,Jean Gruault,115,Twentieth Century Fox
79,79,79,Babylon,Drama,1980,Franco Rosso,Franco Rosso,95,Diversity Music
80,80,80,Windwalker,Adventure,1980,Kieth Merrill,Ray Goldrup,108,Santa Fe International
