1,Jack Nicholson
2,Brooke Shields
3,Mark Hamill
4,Robert Hays
5,Chevy Chase
6,Betsy Palmer
7,John Belushi
8,Robert De Niro
9,Gene Hackman
10,David Carradine
11,Clint Eastwood
12,N!xau
13,Robin Williams
14,Donald Sutherland
15,Michael Caine
16,Christopher Reeve
17,Eddie Barth
18,Jane Fonda
19,Adrienne Barbeau
20,Gene Wilder
21,Al Pacino
22,Kris Kristofferson
23,Kirk Douglas
24,Olivia Newton-John
25,John Travolta
26,William Hurt
27,Tatum O'Neal
28,Jason Robards
29,Robert Redford
30,Richard Gere
31,Chris Makepeace
32,Leslie Nielsen
33,Burt Reynolds
34,Scott Glenn
35,Goldie Hawn
36,Goldie Hawn
37,Tony Danza
38,Rory Calhoun
39,Laurence Olivier
40,Sissy Spacek
41,Bette Davis
42,Edward Woodward
43,Peter O'Toole
44,Peter Boyle
45,Charlton Heston
46,Cheech Marin
47,Michael Caine
48,Suzanna Love
49,Don Adams
50,Anthony Quinn
51,Woody Allen
52,Paul Le Mat
53,Ray Simpson
54,Clint Eastwood
55,Marcello Mastroianni
56,Tim Conway
57,Paul Newman
58,Chevy Chase
59,Chuck Norris
60,Darren McGavin
61,Charles Martin Smith
62,Richard Dreyfuss
63,Jill Clayburgh
64,Willie Nelson
65,Ellen Burstyn
66,Dom DeLuise
67,Vera Alentova
68,Peter Sellers
69,Martin Mull
70,John Ritter
71,Dudley Moore
72,Scott Beach
73,Marty Feldman
74,Meat Loaf
75,Ali MacGraw
76,Elliott Gould
77,Walter Matthau
78,Michael Ontkean
79,David N. Haynes
80,Trevor Howard
81,Paul Michael Glaser
82,Talia Shire
83,Shirley MacLaine
84,Jean Martin
85,George Burns
86,Frank Langella
87,Michel Serrault
88,Chuck Barris
89,Gilda Radner
90,Treat Williams
91,Bob Newhart
92,Ka-Yan Leung
93,Harrison Ford
94,William Hurt
95,David Naughton
96,Kurt Russell
97,Bruce Campbell
98,Dan Monahan
99,John Travolta
100,Laurence Olivier
101,Nigel Terry
102,Mel Gibson
103,Jürgen Prochnow
104,Bill Murray
105,Isabelle Adjani
106,Burt Reynolds
107,James Caan
108,Brooke Shields
109,Sean Connery
110,Alan Alda
111,Betsy Palmer
112,Jennifer O'Neill
113,Roger Moore
114,Jamie Lee Curtis
115,George C. Scott
116,Warren Beatty
117,Katharine Hepburn
118,Mickey Rooney
119,Ben Cross
120,Paul Newman
121,Bo Derek
122,Michael Caine
123,Dudley Moore
124,Andre Gregory
125,Ringo Starr
126,James Farentino
127,Mel Brooks
128,Dee Wallace
129,Peter MacNicol
130,Jeff Bridges
131,Everett McGill
132,Sam Neill
133,Faye Dunaway
134,Sylvia Kristel
135,Jack Nicholson
136,James Cagney
137,Maren Jensen
138,William Hurt
139,Mel Gibson
140,Sean Connery
141,Keith Carradine
142,Julie Andrews
143,Catriona MacColl
144,Craig Wasson
145,Paul Kelman
146,Elizabeth Berridge
147,Frederic Forrest
148,Meryl Streep
149,Jim Henson
150,Robert De Niro
151,Albert Finney
152,Sylvester Stallone
153,Cheech Marin
154,Burt Reynolds
155,John Belushi
156,Nell Schofield
157,Donald Sutherland
158,Albert Finney
159,Kristen Riter
160,Treat Williams
161,Michael Caine
162,John Belushi
163,Wilhelmenia Fernandez
164,Klaus Kinski
165,Paul Newman
166,Lauren Tewes
167,George Hamilton
168,Chevy Chase
169,George Segal
170,Lily Tomlin
171,Kristy McNichol
172,Isabelle Adjani
173,Christopher George
174,Chevy Chase
175,Steve Martin
176,Mews Small
177,Klinton Spilsbury
178,Lesley-Anne Down
179,Leonard Mann
180,Chuck Norris
181,Daniel Valdez
182,Jacqueline Bisset
183,Jack Lemmon
184,Richard Pryor
185,Albert Brooks
186,Andy Kaufman
187,Sally Field
188,Robert Hays
189,Sissy Spacek
190,Richard Dreyfuss
191,Laurence Olivier
192,Gene Hackman
193,Robert Duvall
194,Jane Fonda
195,Marsha Mason
196,David Rasche
197,Burt Reynolds
198,Harry Hamlin
199,Pepper Martin
200,Elliott Gould
201,John Savage
202,Leif Garrett
203,Tony Anthony
204,Bulle Ogier
205,Ellen Burstyn
206,Sean Penn
207,Harrison Ford
208,Kurt Russell
209,Arnold Schwarzenegger
210,Henry Thomas
211,Sylvester Stallone
212,Richard Gere
213,Michelle Pfeiffer
214,Aileen Quinn
215,JoBeth Williams
216,Nick Nolte
217,William Shatner
218,Willie Aames
219,Lawrence Monoson
220,Meryl Streep
221,Ben Kingsley
222,Dustin Hoffman
223,Jeff Bridges
224,Elizabeth Hartman
225,Robert De Niro
226,Sylvester Stallone
227,Marc Singer
228,Hal Holbrook
229,Kirk Douglas
230,Bob Geldof
231,Nastassja Kinski
232,Bertil Guve
233,Dana Kimmell
234,Clint Eastwood
235,Tom Atkins
236,Jim Henson
237,Paul Newman
238,Christopher George
239,Scott Baio
240,Kenny Rogers
241,Robin Williams
242,Steve Guttenberg
243,Burt Reynolds
244,Mel Gibson
245,Henry Winkler
246,Peter Gallagher
247,Julie Andrews
248,Jeff Bridges
249,Barbara Hershey
250,Robert Hays
251,Richard Pryor
252,Kate McNeil
253,Peter Ustinov
254,Lee Horsley
255,Charles Bronson
256,Chuck Norris
257,Barry Bostwick
258,Mariel Hemingway
259,Steve Martin
260,James Olson
261,Jack Lemmon
262,Jessica Lange
263,Morgan Fairchild
264,Nick Nolte
265,Michael Caine
266,Matt Dillon
267,Ben Murphy
268,Armand Assante
269,John Cassavetes
270,Michael McKean
271,Peter O'Toole
272,Roy Scheider
273,Robert Glaudini
274,Michael Ontkean
275,Clint Eastwood
276,Ronny Cox
277,Cher
278,Lewis Collins
279,Peter Sellers
280,Kathryn Harrold
281,Jack Nicholson
282,Sally Field
283,Woody Allen
284,Season Hubley
285,Burt Reynolds
286,Albert Finney
287,Jon Voight
288,Willie Nelson
289,Michael Ironside
290,Tim Matheson
291,Gerrit Graham
292,Gene Wilder
293,Al Pacino
294,Michael O'Keefe
295,Scott Glenn
296,Ken Wahl
297,Sean Connery
298,Dudley Moore
299,Allen Garfield
300,Mark Blankfield
301,Chuck Norris
302,Michael Palin
303,Raul Julia
304,John Hurt
305,Robert Urich
306,Toni Attell
307,Joan Collins
308,Bette Midler
309,Gérard Depardieu
310,Johnny Yune
311,Richard Pryor
312,Frederic Forrest
313,Sean Connery
314,Leon Isaac Kennedy
315,Marc Singer
316,Ryan O'Neal
317,Richard Pryor
318,Mel Blanc
319,Christopher Reeve
320,Luciano Pavarotti
321,Walter Matthau
322,Teresa Stratas
323,Tom Skerritt
324,Rainer Werner Fassbinder
325,Aileen Quinn
326,Lorne Greene
327,Amy Madigan
328,John Wintergate
329,Elizabeth Edmonds
330,Bill Schoppert
331,Wendy Hughes
332,Al Pacino
333,C. Thomas Howell
334,Mark Hamill
335,Tom Cruise
336,Chevy Chase
337,Eddie Murphy
338,Christopher Reeve
339,Tom Berenger
340,John Travolta
341,Dennis Quaid
342,Keith Gordon
343,Felissa Rose
344,Jennifer Beals
345,Matthew Broderick
346,Sam Shepard
347,Ken Marshall
348,David Knell
349,Christopher Walken
350,Roger Moore
351,Phoebe Cates
352,Nicolas Cage
353,Matt Dillon
354,James Woods
355,Shirley MacLaine
356,Dan Aykroyd
357,Sean Connery
358,Peter Billingsley
359,Dee Wallace
