153,,37000000,C & C Brown Production
154,,35610100,Deliverance Productions
155,8500000,29916207,Columbia Pictures
156,,237000,Limelight Productions (II)
157,,17583634,Kings Road Entertainment
158,17000000,10626725,Orion Pictures
159,,5165432,Allen Smithee Classic Films
160,8600000,8124257,Orion Pictures
161,,2447576,Orion Pictures
162,,15578237,Universal Pictures
163,,110014,Les Films Galaxie
164,,5229643,Morison Film Group
165,,29200000,Time Life Films
166,800000,1118634,Georgetown Productions Inc.
167,,,Melvin Simon Productions
168,20000000,18826490,Innovisions
169,6000000,9566593,DeHaven/Shapiro Productions
170,,20259961,Lija Productions
171,,14923752,Viacom Enterprises
172,,12042,Merchant Ivory Productions
173,250000,,Baughn/Freed Productions
174,8000000,26154211,Twentieth Century Fox
175,22000000,9171289,Metro-Goldwyn-Mayer (MGM)
176,1500000,,Bakshi Productions
177,18000000,12617845,Eaves Movie Ranch
178,14000000,2022771,Orion Pictures
179,,1169875,Lorimar Productions
180,3800000,,Adams Apple Film Company
181,2700000,3256082,Universal Pictures
182,,14492125,Jaquet
183,10000000,7258543,Heron Productions
184,11000000,31261269,Universal Pictures
185,,2863642,Columbia Pictures
186,12000000,2154696,Universal Pictures
187,,11809387,CBS Theatrical Films
188,3500000,17569027,Cinema Group Ventures
189,,1976198,Universal Pictures
190,13000000,8206145,Metro-Goldwyn-Mayer (MGM)
191,46000000,5200986,One Way Productions
192,14000000,4454295,Universal Pictures
193,12000000,3702028,PolyGram Pictures
194,16000000,10851261,IPC Films
195,,25524778,Columbia Pictures
196,24000000,2004742,EMI Films
197,,18838812,Paramount Pictures
198,2000000,1791147,PolyGram Pictures
199,,,Calendar International Pictures
200,,16000000,Walt Disney Productions
201,,6892098,Balkan Productions
202,,,Greentree
203,,12000000,Lupo-Anthony-Quintano Productions
204,,17110,Les Films du Losange
205,,1622898,Universal Pictures
206,4500000,27092880,Universal Pictures
207,28000000,41676878,The Ladd Company
208,15000000,19632053,Universal Pictures
209,20000000,68851475,Universal Pictures
210,10500000,792910554,Universal Pictures
211,15000000,125212904,Anabasis N.V.
212,7500000,129795554,Lorimar Film Entertainment
213,13200000,15171476,Paramount Pictures
214,50000000,57063861,Columbia Pictures
215,10700000,77142388,Metro-Goldwyn-Mayer (MGM)
216,12000000,78868508,Paramount Pictures
217,11200000,78912963,Paramount Pictures
218,,5588800,Embassy Pictures
219,,5829781,Cannon Group
220,12000000,30036000,Incorporated Television Company (ITC)
221,22000000,52767889,International Film Investors
222,21000000,177200000,Columbia Pictures
223,17000000,33000525,Walt Disney Productions
224,7000000,14665733,Aurora
225,20000000,2536242,Embassy International Pictures
226,17000000,125052686,Chartoff-Winkler Productions
227,8000000,14056528,Leisure Investment Company
228,8000000,21028755,United Film Distribution Company (UFDC)
229,3500000,20659423,Cambridge Productions
230,12000000,22265763,Goldcrest Films International
231,18000000,7000000,RKO Pictures
232,6000000,6795771,Cinematograph AB
233,2300000,36690067,Paramount Pictures
234,18000000,46708276,Major Studio Partners
235,2500000,14400000,Dino De Laurentiis Company
236,15000000,41630431,Incorporated Television Company (ITC)
237,16000000,53993738,Twentieth Century Fox
238,300000,2032311,Almena Films
239,,16897768,Embassy Pictures
240,,20225989,Twentieth Century Fox
241,17000000,29712172,Pan Arts
242,5000000,14099953,Metro-Goldwyn-Mayer (MGM)
243,35000000,69701637,Universal Pictures
244,13000000,10278575,Metro-Goldwyn-Mayer (MGM)
245,,21095638,Major Studio Partners
246,,4968000,Filmways Pictures
247,,28229046,Metro-Goldwyn-Mayer (MGM)
248,3500000,6455330,Rankin/Bass Productions
249,9000000,13277558,American Cinema Productions
250,15000000,27150534,Paramount Pictures
251,17000000,47118057,Columbia Pictures
252,425000,10604986,VAE Productions
253,10000000,6110670,EMI Films
254,,39103425,Sorcerer Productions
255,2000000,16100000,Golan-Globus Productions
256,4500000,10490791,Columbia Pictures
257,20000000,5675599,Golden Harvest Company
258,16000000,5672311,The Geffen Company
259,9000000,18196170,Aspen Film Society
260,5000000,12534817,Dino De Laurentiis Company
261,9500000,14000000,PolyGram Filmed Entertainment
262,,,Brooksfilms
263,,11378339,The Romantic Venture
264,11300000,5301539,Chai Productions
265,,19282134,Warner Bros.
266,,7400000,Walt Disney Productions
267,750000,,Byzantine Productions
268,,1515578,American Cinema Productions
269,13000000,5005245,Columbia Pictures
270,,30688860,ABC Motion Pictures
271,,20123620,Metro-Goldwyn-Mayer (MGM)
272,10000000,5979947,United Artists
273,800000,2270,Embassy Pictures
274,,11897978,IndieProd Company Productions
275,2000000,4484991,The Malpaso Company
276,,7742572,Katzka
277,850000,840958,Sandcastle 5 Productions
278,6000000,2666873,Richmond Light Horse Productions
279,6000000,9056073,United Artists
280,,1054328,Paramount Pictures
281,22000000,6118683,Efer Productions
282,,15782759,Twentieth Century Fox
283,,9077269,Jack Rollins & Charles H. Joffe Productions
284,,13253583,AVCO Embassy Pictures
285,15000000,36821203,Warner Bros.
286,12000000,9217530,Metro-Goldwyn-Mayer (MGM)
287,17000000,946461,Lorimar Productions
288,11000000,1736123,Incorporated Television Company (ITC)
289,,13258670,Canadian Film Development Corporation (CFDC)
290,,2370376,Company Four
291,,10054150,ABC Motion Pictures
292,,9823934,Columbia Pictures
293,,13111101,Twentieth Century Fox
294,,263635,PolyGram Filmed Entertainment
295,,2977706,CBS Theatrical Films
296,4000000,6328816,James Glickenhaus
297,10000000,3583513,Columbia Pictures
298,,6668025,PolyGram Pictures
299,,3700,Gray City
300,5000000,3792188,Paramount Pictures
301,5000000,6660333,Metro-Goldwyn-Mayer (MGM)
302,,7241180,HandMade Films
303,,143369,Zoetrope Studios
304,10000000,8000000,Walt Disney Productions
305,,1474249,Alive Enterprises
306,7000000,21134374,C & C Brown Production
307,,2914328,Jensen Farley Pictures
308,13400000,2869638,Herb Jaffe
309,,3723036,S.F.P.C.
310,,16894678,Gold Pine Productions
311,,23671186,Paramount Pictures
312,,42914,Orion Pictures
313,15000000,199078,Cable and Wireless Finance
314,,3178542,Bob-Bea Productions
315,,8693512,Cypress Grove
316,6000000,6062898,Paramount Pictures
317,,36299720,Columbia Pictures
318,,78350,Warner Bros. Animation
319,,12408066,Frank Yablans Presentations
320,19000000,2279543,Metro-Goldwyn-Mayer (MGM)
321,,6968359,Twentieth Century Fox
322,,3783329,Accent Films B.V.
323,,3355948,Permut Presentations
324,,22440,Regina Ziegler Filmproduktion
325,,,Alan Enterprises
326,,5124391,Hanna-Barbera Productions
327,,,The Ladd Company
328,10000,,Blustarr
329,,,Channel Four Film
330,435000,,Blueline Productions
331,,777087,Adam Packer Film Productions
332,25000000,65884703,Universal Pictures
333,10000000,25697647,Zoetrope Studios
334,32500000,475106177,Lucasfilm
335,6200000,63541777,The Geffen Company
336,15000000,61399552,National Lampoon
337,15000000,90404800,Cinema Group Ventures
338,39000000,59950623,Dovemead Films
339,8000000,56399659,Columbia Pictures
340,22000000,64892670,Paramount Pictures
341,20500000,87987055,Universal Pictures
342,9700000,21017849,Columbia Pictures
343,350000,,American Eagle Films
344,4000000,92921203,Paramount Pictures
345,12000000,79567667,United Artists
346,27000000,21192315,The Ladd Company
347,47000000,16916617,Columbia Pictures
348,,24071666,Columbia Pictures
349,10000000,20766616,Dino De Laurentiis Company
350,27500000,67893619,United Artists
351,3500000,14049540,Unity Productions
352,350000,17343596,Atlantic Entertainment Group
353,10000000,2494480,Zoetrope Studios
354,5952000,2120439,Filmplan International
355,8000000,108423749,Paramount Pictures
356,10000000,29450919,Amblin Entertainment
357,36000000,55432841,TaliaFilm II Productions
358,3300000,20653717,Metro-Goldwyn-Mayer (MGM)
359,5000000,21156152,Sunn Classic Pictures
360,22000000,67642693,Warner Bros.
361,,5988322,Metro-Goldwyn-Mayer (MGM)
362,,64783827,Sherwood Productions
363,22000000,42313354,Columbia Pictures
364,7500000,19910002,Breathless Associates
365,5000000,34725000,Universal Pictures
366,,5899678,Enigma Productions
367,,9190819,EMI Films
368,10000000,35615609,ABC Motion Pictures
369,5600000,17233166,Lucille Ball Productions
370,11000000,4218594,Paramount Pictures
371,,22587834,Marimark Productions
372,12000000,40218899,Ladbroke
373,1200000,760883,Polyc International BV
374,,4786789,Aurora
375,6500000,4300000,Seagoat Films
376,9000000,14949697,Celandine Films
377,,55269,Rai 2
378,,20307325,Edward S. Feldman Productions
379,,5678950,Universal Pictures
